Date,Custody/AOR/Facility,Confirmed cases currently under isolation or monitoring,Detainee deaths,Total confirmed COVID-19 cases
4/8/2020,Otay Mesa Detention Center (San Diego CDF),,,5
4/8/2020,at local hospital,,,1
4/9/2020,Bergen County Jail,,,2
4/9/2020,Elizabeth Detention Center,,,7
4/9/2020,Essex County Jail,,,2
4/9/2020,Hudson County Jail,,,5
4/9/2020,La Palma Correctional Facility,,,2
4/9/2020,LaSalle ICE Processing Center - Olla,,,1
4/9/2020,Pike County Correctional Facility,,,5
4/9/2020,Pine Prairie ICE Processing Center,,,1
4/9/2020,Saint Clair County Jail,,,1
4/9/2020,York County Prison,,,1
4/9/2020,Otay Mesa Detention Center (San Diego CDF),,,7
4/9/2020,at local hospital,,,1
4/10/2020,Bergen County Jail,,,2
4/10/2020,Buffalo (Batavia) Service Processing Center,,,4
4/10/2020,Elizabeth Detention Center,,,7
4/10/2020,Essex County Jail,,,2
4/10/2020,Florence Detention Center,,,3
4/10/2020,Hudson County Jail,,,5
4/10/2020,Irwin County Detention Center,,,1
4/10/2020,Krome North Service Processing Center,,,1
4/10/2020,La Palma Correctional Facility,,,2
4/10/2020,LaSalle ICE Processing Center - Olla,,,1
4/10/2020,Otay Mesa Detention Center (San Diego CDF),,,10
4/10/2020,Pike County Correctional Facility,,,5
4/10/2020,Pine Prairie ICE Processing Center,,,1
4/10/2020,Saint Clair County Jail,,,1
4/10/2020,Stewart Detention Center,,,2
4/10/2020,Winn Correctional Center,,,1
4/10/2020,York County Prison,,,1
4/10/2020,at local hospital,,,1
4/11/2020,Bergen County Jail,,,2
4/11/2020,Buffalo (Batavia) Service Processing Center,,,7
4/11/2020,Elizabeth Detention Center,,,7
4/11/2020,Essex County Jail,,,2
4/11/2020,Florence Detention Center,,,3
4/11/2020,Hudson County Jail,,,5
4/11/2020,Irwin County Detention Center,,,1
4/11/2020,Krome North Service Processing Center,,,1
4/11/2020,La Palma Correctional Facility,,,2
4/11/2020,LaSalle ICE Processing Center - Olla,,,1
4/11/2020,Otay Mesa Detention Center (San Diego CDF),,,10
4/11/2020,Otero County Processing Center,,,1
4/11/2020,Richwood Correctional Center,,,1
4/11/2020,Pike County Correctional Facility,,,5
4/11/2020,Pine Prairie ICE Processing Center,,,1
4/11/2020,Pulaski County Detention Center,,,3
4/11/2020,Saint Clair County Jail,,,2
4/11/2020,Stewart Detention Center,,,4
4/11/2020,Winn Correctional Center,,,1
4/11/2020,York County Prison,,,1
4/11/2020,at local hospital,,,1
4/12/2020,Bergen County Jail,,,2
4/12/2020,Buffalo (Batavia) Service Processing Center,,,7
4/12/2020,Elizabeth Detention Center,,,7
4/12/2020,Essex County Jail,,,2
4/12/2020,Florence Detention Center,,,3
4/12/2020,Hudson County Jail,,,5
4/12/2020,Irwin County Detention Center,,,1
4/12/2020,Krome North Service Processing Center,,,1
4/12/2020,La Palma Correctional Facility,,,2
4/12/2020,LaSalle ICE Processing Center - Olla,,,1
4/12/2020,Otay Mesa Detention Center (San Diego CDF),,,10
4/12/2020,Otero County Processing Center,,,1
4/12/2020,Richwood Correctional Center,,,1
4/12/2020,Pike County Correctional Facility,,,5
4/12/2020,Pine Prairie ICE Processing Center,,,1
4/12/2020,Pulaski County Detention Center,,,3
4/12/2020,Saint Clair County Jail,,,2
4/12/2020,Stewart Detention Center,,,4
4/12/2020,Winn Correctional Center,,,1
4/12/2020,York County Prison,,,1
4/12/2020,at local hospital,,,1
4/13/2020,Adams County Correctional Center,,,1
4/13/2020,Bergen County Jail,,,2
4/13/2020,Buffalo (Batavia) Service Processing Center,,,7
4/13/2020,Elizabeth Detention Center,,,7
4/13/2020,Essex County Jail,,,2
4/13/2020,Florence Detention Center,,,6
4/13/2020,Hudson County Jail,,,5
4/13/2020,IAH Polk Adult Detention Facility,,,1
4/13/2020,Irwin County Detention Center,,,1
4/13/2020,Krome North Service Processing Center,,,1
4/13/2020,La Palma Correctional Facility,,,2
4/13/2020,LaSalle ICE Processing Center - Olla,,,2
4/13/2020,Otay Mesa Detention Center (San Diego CDF),,,12
4/13/2020,Otero County Processing Center,,,1
4/13/2020,Richwood Correctional Center,,,1
4/13/2020,Pike County Correctional Facility,,,5
4/13/2020,Pine Prairie ICE Processing Center,,,2
4/13/2020,Pulaski County Detention Center,,,3
4/13/2020,Saint Clair County Jail,,,2
4/13/2020,Stewart Detention Center,,,6
4/13/2020,Winn Correctional Center,,,1
4/13/2020,York County Prison,,,1
4/13/2020,at local hospital,,,1
4/14/2020,Adams County Correctional Center,,,1
4/14/2020,Bergen County Jail,,,2
4/14/2020,Buffalo (Batavia) Service Processing Center,,,8
4/14/2020,Elizabeth Detention Center,,,7
4/14/2020,Essex County Jail,,,2
4/14/2020,Florence Detention Center,,,6
4/14/2020,Hudson County Jail,,,5
4/14/2020,IAH Polk Adult Detention Facility,,,1
4/14/2020,Irwin County Detention Center,,,1
4/14/2020,Krome North Service Processing Center,,,1
4/14/2020,La Palma Correctional Facility,,,2
4/14/2020,LaSalle ICE Processing Center - Olla,,,2
4/14/2020,LaSalle ICE Processing Center - Jena,,,1
4/14/2020,Otay Mesa Detention Center (San Diego CDF),,,15
4/14/2020,Otero County Processing Center,,,1
4/14/2020,Richwood Correctional Center,,,1
4/14/2020,Pike County Correctional Facility,,,5
4/14/2020,Pine Prairie ICE Processing Center,,,2
4/14/2020,Pulaski County Detention Center,,,3
4/14/2020,Saint Clair County Jail,,,2
4/14/2020,Stewart Detention Center,,,6
4/14/2020,Winn Correctional Center,,,1
4/14/2020,York County Prison,,,1
4/14/2020,at local hospital,,,1
4/15/2020,Adams County Correctional Center,,,5
4/15/2020,Bergen County Jail,,,2
4/15/2020,Buffalo (Batavia) Service Processing Center,,,11
4/15/2020,Elizabeth Detention Center,,,7
4/15/2020,Essex County Jail,,,2
4/15/2020,Florence Detention Center,,,6
4/15/2020,Hudson County Jail,,,5
4/15/2020,IAH Polk Adult Detention Facility,,,1
4/15/2020,Irwin County Detention Center,,,1
4/15/2020,Krome North Service Processing Center,,,1
4/15/2020,La Palma Correctional Facility,,,2
4/15/2020,LaSalle ICE Processing Center - Olla,,,2
4/15/2020,LaSalle ICE Processing Center - Jena,,,1
4/15/2020,Otay Mesa Detention Center (San Diego CDF),,,15
4/15/2020,Otero County Processing Center,,,1
4/15/2020,Prairieland Detention Facility,,,1
4/15/2020,Richwood Correctional Center,,,2
4/15/2020,Pike County Correctional Facility,,,6
4/15/2020,Pine Prairie ICE Processing Center,,,2
4/15/2020,Pulaski County Detention Center,,,3
4/15/2020,Saint Clair County Jail,,,3
4/15/2020,Stewart Detention Center,,,7
4/15/2020,Winn Correctional Center,,,1
4/15/2020,York County Prison,,,1
4/15/2020,at local hospital,,,1
4/16/2020,Adams County Correctional Center,,,5
4/16/2020,Bergen County Jail,,,2
4/16/2020,Buffalo (Batavia) Service Processing Center,,,12
4/16/2020,Elizabeth Detention Center,,,7
4/16/2020,Essex County Jail,,,2
4/16/2020,Florence Detention Center,,,6
4/16/2020,Hudson County Jail,,,5
4/16/2020,IAH Polk Adult Detention Facility,,,1
4/16/2020,Irwin County Detention Center,,,1
4/16/2020,Krome North Service Processing Center,,,1
4/16/2020,La Palma Correctional Facility,,,6
4/16/2020,LaSalle ICE Processing Center - Olla,,,2
4/16/2020,LaSalle ICE Processing Center - Jena,,,1
4/16/2020,Otay Mesa Detention Center (San Diego CDF),,,17
4/16/2020,Otero County Processing Center,,,1
4/16/2020,Prairieland Detention Facility,,,3
4/16/2020,Pike County Correctional Facility,,,7
4/16/2020,Pine Prairie ICE Processing Center,,,2
4/16/2020,Pulaski County Detention Center,,,3
4/16/2020,Richwood Correctional Center,,,2
4/16/2020,River Correctional Center,,,1
4/16/2020,Saint Clair County Jail,,,3
4/16/2020,Stewart Detention Center,,,7
4/16/2020,Winn Correctional Center,,,1
4/16/2020,York County Prison,,,1
4/16/2020,at local hospital,,,1
4/17/2020,Adams County Correctional Center,,,5
4/17/2020,Bergen County Jail,,,2
4/17/2020,Buffalo (Batavia) Service Processing Center,,,12
4/17/2020,Elizabeth Detention Center,,,7
4/17/2020,Essex County Jail,,,2
4/17/2020,Florence Detention Center,,,7
4/17/2020,Hudson County Jail,,,5
4/17/2020,IAH Polk Adult Detention Facility,,,1
4/17/2020,Irwin County Detention Center,,,1
4/17/2020,Krome North Service Processing Center,,,2
4/17/2020,La Palma Correctional Facility,,,6
4/17/2020,LaSalle ICE Processing Center - Olla,,,2
4/17/2020,LaSalle ICE Processing Center - Jena,,,1
4/17/2020,Otay Mesa Detention Center (San Diego CDF),,,18
4/17/2020,Otero County Processing Center,,,1
4/17/2020,Prairieland Detention Facility,,,3
4/17/2020,Pike County Correctional Facility,,,7
4/17/2020,Pine Prairie ICE Processing Center,,,4
4/17/2020,Pulaski County Detention Center,,,3
4/17/2020,Richwood Correctional Center,,,3
4/17/2020,River Correctional Center,,,1
4/17/2020,Saint Clair County Jail,,,3
4/17/2020,Stewart Detention Center,,,7
4/17/2020,Winn Correctional Center,,,1
4/17/2020,York County Prison,,,1
4/18/2020,Adams County Correctional Center,,,5
4/18/2020,Bergen County Jail,,,2
4/18/2020,Buffalo (Batavia) Service Processing Center,,,13
4/18/2020,Elizabeth Detention Center,,,7
4/18/2020,Essex County Jail,,,2
4/18/2020,Florence Detention Center,,,8
4/18/2020,Hudson County Jail,,,5
4/18/2020,IAH Polk Adult Detention Facility,,,1
4/18/2020,Irwin County Detention Center,,,1
4/18/2020,Krome North Service Processing Center,,,2
4/18/2020,La Palma Correctional Facility,,,6
4/18/2020,LaSalle ICE Processing Center - Olla,,,2
4/18/2020,LaSalle ICE Processing Center - Jena,,,1
4/18/2020,Otay Mesa Detention Center (San Diego CDF),,,18
4/18/2020,Otero County Processing Center,,,1
4/18/2020,Prairieland Detention Facility,,,3
4/18/2020,Pike County Correctional Facility,,,7
4/18/2020,Pine Prairie ICE Processing Center,,,4
4/18/2020,Pulaski County Detention Center,,,3
4/18/2020,Richwood Correctional Center,,,20
4/18/2020,River Correctional Center,,,1
4/18/2020,Saint Clair County Jail,,,3
4/18/2020,Stewart Detention Center,,,7
4/18/2020,Winn Correctional Center,,,1
4/18/2020,York County Prison,,,1
4/19/2020,Adams County Correctional Center,,,5
4/19/2020,Bergen County Jail,,,2
4/19/2020,Buffalo (Batavia) Service Processing Center,,,13
4/19/2020,Elizabeth Detention Center,,,7
4/19/2020,Essex County Jail,,,2
4/19/2020,Florence Detention Center,,,8
4/19/2020,Hudson County Jail,,,5
4/19/2020,IAH Polk Adult Detention Facility,,,1
4/19/2020,Irwin County Detention Center,,,1
4/19/2020,Krome North Service Processing Center,,,2
4/19/2020,La Palma Correctional Facility,,,6
4/19/2020,LaSalle ICE Processing Center - Olla,,,2
4/19/2020,LaSalle ICE Processing Center - Jena,,,1
4/19/2020,Otay Mesa Detention Center (San Diego CDF),,,18
4/19/2020,Otero County Processing Center,,,1
4/19/2020,Prairieland Detention Facility,,,3
4/19/2020,Pike County Correctional Facility,,,7
4/19/2020,Pine Prairie ICE Processing Center,,,4
4/19/2020,Pulaski County Detention Center,,,3
4/19/2020,Richwood Correctional Center,,,20
4/19/2020,River Correctional Center,,,1
4/19/2020,Saint Clair County Jail,,,3
4/19/2020,Stewart Detention Center,,,7
4/19/2020,Winn Correctional Center,,,1
4/19/2020,York County Prison,,,1
4/20/2020,Adams County Correctional Center,,,8
4/20/2020,Bergen County Jail,,,2
4/20/2020,Buffalo (Batavia) Service Processing Center,,,45
4/20/2020,Catahoula Correctional Center,,,1
4/20/2020,Elizabeth Detention Center,,,13
4/20/2020,El Paso Service Processing Center,,,4
4/20/2020,Essex County Jail,,,2
4/20/2020,Florence Detention Center,,,9
4/20/2020,Hudson County Jail,,,8
4/20/2020,IAH Polk Adult Detention Facility,,,1
4/20/2020,Irwin County Detention Center,,,1
4/20/2020,Krome North Service Processing Center,,,2
4/20/2020,La Palma Correctional Facility,,,13
4/20/2020,LaSalle ICE Processing Center - Olla,,,2
4/20/2020,LaSalle ICE Processing Center - Jena,,,1
4/20/2020,Montgomery Processing Center (Houston),,,1
4/20/2020,Otay Mesa Detention Center (San Diego CDF),,,20
4/20/2020,Otero County Processing Center,,,1
4/20/2020,Prairieland Detention Facility,,,24
4/20/2020,Pike County Correctional Facility,,,11
4/20/2020,Pine Prairie ICE Processing Center,,,9
4/20/2020,Pulaski County Detention Center,,,6
4/20/2020,Richwood Correctional Center,,,20
4/20/2020,River Correctional Center,,,2
4/20/2020,Saint Clair County Jail,,,3
4/20/2020,Stewart Detention Center,,,9
4/20/2020,Winn Correctional Center,,,1
4/20/2020,York County Prison,,,1
4/21/2020,Adams County Correctional Center,,,9
4/21/2020,Bergen County Jail,,,2
4/21/2020,Buffalo (Batavia) Service Processing Center,,,46
4/21/2020,Caroline Detention Facility,,,1
4/21/2020,Catahoula Correctional Center,,,1
4/21/2020,El Paso Service Processing Center,,,5
4/21/2020,Elizabeth Detention Center,,,13
4/21/2020,Essex County Jail,,,2
4/21/2020,Florence Detention Center,,,10
4/21/2020,Hudson County Jail,,,8
4/21/2020,IAH Polk Adult Detention Facility,,,1
4/21/2020,Irwin County Detention Center,,,1
4/21/2020,Krome North Service Processing Center,,,2
4/21/2020,La Palma Correctional Facility,,,18
4/21/2020,LaSalle ICE Processing Center - Jena,,,3
4/21/2020,Montgomery Processing Center (Houston),,,2
4/21/2020,Otay Mesa Detention Center (San Diego CDF),,,29
4/21/2020,Otero County Processing Center,,,1
4/21/2020,Prairieland Detention Facility,,,28
4/21/2020,Pike County Correctional Facility,,,11
4/21/2020,Pine Prairie ICE Processing Center,,,6
4/21/2020,Pulaski County Detention Center,,,6
4/21/2020,Richwood Correctional Center,,,27
4/21/2020,River Correctional Center,,,2
4/21/2020,Saint Clair County Jail,,,4
4/21/2020,Stewart Detention Center,,,9
4/21/2020,Winn Correctional Center,,,2
4/21/2020,York County Prison,,,1
4/22/2020,Adams County Correctional Center,,,9
4/22/2020,Bergen County Jail,,,2
4/22/2020,Bluebonnet Detention Facility,,,1
4/22/2020,Buffalo (Batavia) Service Processing Center,,,49
4/22/2020,Caroline Detention Facility,,,1
4/22/2020,Catahoula Correctional Center,,,1
4/22/2020,El Paso Service Processing Center,,,5
4/22/2020,Elizabeth Detention Center,,,13
4/22/2020,Essex County Jail,,,2
4/22/2020,Florence Detention Center,,,10
4/22/2020,Hudson County Jail,,,8
4/22/2020,IAH Polk Adult Detention Facility,,,1
4/22/2020,Irwin County Detention Center,,,1
4/22/2020,Krome North Service Processing Center,,,2
4/22/2020,La Palma Correctional Facility,,,18
4/22/2020,LaSalle ICE Processing Center - Jena,,,3
4/22/2020,Montgomery Processing Center (Houston),,,3
4/22/2020,Otay Mesa Detention Center (San Diego CDF),,,42
4/22/2020,Otero County Processing Center,,,1
4/22/2020,Prairieland Detention Facility,,,33
4/22/2020,Pike County Correctional Facility,,,13
4/22/2020,Pine Prairie ICE Processing Center,,,15
4/22/2020,Pulaski County Detention Center,,,7
4/22/2020,Richwood Correctional Center,,,28
4/22/2020,River Correctional Center,,,2
4/22/2020,Saint Clair County Jail,,,5
4/22/2020,Stewart Detention Center,,,9
4/22/2020,Winn Correctional Center,,,2
4/22/2020,York County Prison,,,1
4/23/2020,Adams County Correctional Center,,,9
4/23/2020,Bergen County Jail,,,2
4/23/2020,Bluebonnet Detention Facility,,,1
4/23/2020,Buffalo (Batavia) Service Processing Center,,,49
4/23/2020,Caroline Detention Facility,,,1
4/23/2020,Catahoula Correctional Center,,,1
4/23/2020,El Paso Service Processing Center,,,5
4/23/2020,Elizabeth Detention Center,,,13
4/23/2020,Essex County Jail,,,2
4/23/2020,Florence Detention Center,,,10
4/23/2020,Hudson County Jail,,,8
4/23/2020,IAH Polk Adult Detention Facility,,,1
4/23/2020,Irwin County Detention Center,,,1
4/23/2020,Krome North Service Processing Center,,,2
4/23/2020,La Palma Correctional Facility,,,18
4/23/2020,LaSalle ICE Processing Center - Jena,,,3
4/23/2020,Montgomery Processing Center (Houston),,,3
4/23/2020,Otay Mesa Detention Center (San Diego CDF),,,42
4/23/2020,Otero County Processing Center,,,1
4/23/2020,Prairieland Detention Facility,,,33
4/23/2020,Pike County Correctional Facility,,,13
4/23/2020,Pine Prairie ICE Processing Center,,,15
4/23/2020,Pulaski County Detention Center,,,7
4/23/2020,Richwood Correctional Center,,,28
4/23/2020,River Correctional Center,,,2
4/23/2020,Saint Clair County Jail,,,5
4/23/2020,Stewart Detention Center,,,9
4/23/2020,Winn Correctional Center,,,2
4/23/2020,York County Prison,,,1
4/24/2020,Adams County Correctional Center,,,9
4/24/2020,Bergen County Jail,,,2
4/24/2020,Bluebonnet Detention Facility,,,1
4/24/2020,Buffalo (Batavia) Service Processing Center,,,49
4/24/2020,Caroline Detention Facility,,,2
4/24/2020,Catahoula Correctional Center,,,1
4/24/2020,El Paso Service Processing Center,,,5
4/24/2020,Elizabeth Detention Center,,,13
4/24/2020,Essex County Jail,,,2
4/24/2020,Florence Detention Center,,,10
4/24/2020,Hudson County Jail,,,8
4/24/2020,IAH Polk Adult Detention Facility,,,1
4/24/2020,Irwin County Detention Center,,,1
4/24/2020,Krome North Service Processing Center,,,2
4/24/2020,La Palma Correctional Facility,,,18
4/24/2020,LaSalle ICE Processing Center - Jena,,,20
4/24/2020,Montgomery Processing Center (Houston),,,3
4/24/2020,Otay Mesa Detention Center (San Diego CDF),,,57
4/24/2020,Otero County Processing Center,,,2
4/24/2020,Prairieland Detention Facility,,,35
4/24/2020,Pike County Correctional Facility,,,14
4/24/2020,Pine Prairie ICE Processing Center,,,15
4/24/2020,Pulaski County Detention Center,,,9
4/24/2020,Richwood Correctional Center,,,32
4/24/2020,River Correctional Center,,,2
4/24/2020,South Texas ICE Processing Center (Pearsall),,,2
4/24/2020,Saint Clair County Jail,,,5
4/24/2020,Stewart Detention Center,,,9
4/24/2020,Winn Correctional Center,,,2
4/24/2020,York County Prison,,,1
4/25/2020,Adams County Correctional Center,,,9
4/25/2020,Bergen County Jail,,,2
4/25/2020,Bluebonnet Detention Facility,,,1
4/25/2020,Buffalo (Batavia) Service Processing Center,,,49
4/25/2020,Caroline Detention Facility,,,2
4/25/2020,Catahoula Correctional Center,,,1
4/25/2020,El Paso Service Processing Center,,,5
4/25/2020,Elizabeth Detention Center,,,13
4/25/2020,Essex County Jail,,,2
4/25/2020,Florence Detention Center,,,10
4/25/2020,Hudson County Jail,,,8
4/25/2020,IAH Polk Adult Detention Facility,,,1
4/25/2020,Irwin County Detention Center,,,1
4/25/2020,Krome North Service Processing Center,,,2
4/25/2020,La Palma Correctional Facility,,,18
4/25/2020,LaSalle ICE Processing Center - Jena,,,20
4/25/2020,Montgomery Processing Center (Houston),,,3
4/25/2020,Otay Mesa Detention Center (San Diego CDF),,,57
4/25/2020,Otero County Processing Center,,,2
4/25/2020,Prairieland Detention Facility,,,35
4/25/2020,Pike County Correctional Facility,,,14
4/25/2020,Pine Prairie ICE Processing Center,,,15
4/25/2020,Pulaski County Detention Center,,,9
4/25/2020,Richwood Correctional Center,,,32
4/25/2020,River Correctional Center,,,2
4/25/2020,South Texas ICE Processing Center (Pearsall),,,2
4/25/2020,Saint Clair County Jail,,,5
4/25/2020,Stewart Detention Center,,,9
4/25/2020,Winn Correctional Center,,,2
4/25/2020,York County Prison,,,1
4/26/2020,Adams County Correctional Center,,,9
4/26/2020,Bergen County Jail,,,2
4/26/2020,Bluebonnet Detention Facility,,,1
4/26/2020,Buffalo (Batavia) Service Processing Center,,,49
4/26/2020,Caroline Detention Facility,,,2
4/26/2020,Catahoula Correctional Center,,,1
4/26/2020,El Paso Service Processing Center,,,5
4/26/2020,Elizabeth Detention Center,,,13
4/26/2020,Essex County Jail,,,2
4/26/2020,Florence Detention Center,,,10
4/26/2020,Hudson County Jail,,,8
4/26/2020,IAH Polk Adult Detention Facility,,,1
4/26/2020,Irwin County Detention Center,,,1
4/26/2020,Krome North Service Processing Center,,,2
4/26/2020,La Palma Correctional Facility,,,18
4/26/2020,LaSalle ICE Processing Center - Jena,,,20
4/26/2020,Montgomery Processing Center (Houston),,,3
4/26/2020,Otay Mesa Detention Center (San Diego CDF),,,57
4/26/2020,Otero County Processing Center,,,2
4/26/2020,Prairieland Detention Facility,,,35
4/26/2020,Pike County Correctional Facility,,,14
4/26/2020,Pine Prairie ICE Processing Center,,,15
4/26/2020,Pulaski County Detention Center,,,9
4/26/2020,Richwood Correctional Center,,,32
4/26/2020,River Correctional Center,,,2
4/26/2020,South Texas ICE Processing Center (Pearsall),,,2
4/26/2020,Saint Clair County Jail,,,5
4/26/2020,Stewart Detention Center,,,9
4/26/2020,Winn Correctional Center,,,2
4/26/2020,York County Prison,,,1
4/27/2020,Adams County Correctional Center,,,12
4/27/2020,Bergen County Jail,,,2
4/27/2020,Bluebonnet Detention Facility,,,1
4/27/2020,Buffalo (Batavia) Service Processing Center,,,49
4/27/2020,Caroline Detention Facility,,,2
4/27/2020,Catahoula Correctional Center,,,3
4/27/2020,El Paso Service Processing Center,,,7
4/27/2020,Elizabeth Detention Center,,,13
4/27/2020,Essex County Jail,,,2
4/27/2020,Florence Detention Center,,,10
4/27/2020,Hudson County Jail,,,8
4/27/2020,IAH Polk Adult Detention Facility,,,1
4/27/2020,Irwin County Detention Center,,,2
4/27/2020,Krome North Service Processing Center,,,4
4/27/2020,La Palma Correctional Facility,,,23
4/27/2020,LaSalle ICE Processing Center - Jena,,,20
4/27/2020,Montgomery Processing Center (Houston),,,3
4/27/2020,Morrow County Correctional Facility,,,1
4/27/2020,Otay Mesa Detention Center (San Diego CDF),,,75
4/27/2020,Otero County Processing Center,,,2
4/27/2020,Pike County Correctional Facility,,,14
4/27/2020,Pine Prairie ICE Processing Center,,,17
4/27/2020,Prairieland Detention Facility,,,36
4/27/2020,Pulaski County Detention Center,,,9
4/27/2020,Richwood Correctional Center,,,37
4/27/2020,River Correctional Center,,,2
4/27/2020,South Texas ICE Processing Center (Pearsall),,,2
4/27/2020,Saint Clair County Jail,,,5
4/27/2020,Stewart Detention Center,,,9
4/27/2020,Winn Correctional Center,,,2
4/27/2020,Wyatt Detention Center,,,1
4/27/2020,York County Prison,,,1
4/28/2020,Adams County Correctional Center,,,12
4/28/2020,Bergen County Jail,,,2
4/28/2020,Bluebonnet Detention Facility,,,1
4/28/2020,Buffalo (Batavia) Service Processing Center,,,49
4/28/2020,Caroline Detention Facility,,,2
4/28/2020,Catahoula Correctional Center,,,3
4/28/2020,El Paso Service Processing Center,,,7
4/28/2020,Elizabeth Detention Center,,,13
4/28/2020,Essex County Jail,,,2
4/28/2020,Florence Detention Center,,,10
4/28/2020,Hudson County Jail,,,8
4/28/2020,IAH Polk Adult Detention Facility,,,1
4/28/2020,Irwin County Detention Center,,,2
4/28/2020,Krome North Service Processing Center,,,4
4/28/2020,La Palma Correctional Facility,,,23
4/28/2020,LaSalle ICE Processing Center - Jena,,,5
4/28/2020,Montgomery Processing Center (Houston),,,3
4/28/2020,Morrow County Correctional Facility,,,1
4/28/2020,Otay Mesa Detention Center (San Diego CDF),,,75
4/28/2020,Otero County Processing Center,,,2
4/28/2020,Pike County Correctional Facility,,,14
4/28/2020,Pine Prairie ICE Processing Center,,,17
4/28/2020,Prairieland Detention Facility,,,36
4/28/2020,Pulaski County Detention Center,,,9
4/28/2020,Richwood Correctional Center,,,37
4/28/2020,River Correctional Center,,,2
4/28/2020,South Texas ICE Processing Center (Pearsall),,,2
4/28/2020,Saint Clair County Jail,,,5
4/28/2020,Stewart Detention Center,,,9
4/28/2020,Winn Correctional Center,,,2
4/28/2020,Wyatt Detention Center,,,1
4/28/2020,York County Prison,,,1
4/29/2020,Adams County Correctional Center,,,12
4/29/2020,Bergen County Jail,,,2
4/29/2020,Bluebonnet Detention Facility,,,20
4/29/2020,Buffalo (Batavia) Service Processing Center,,,49
4/29/2020,Caroline Detention Facility,,,2
4/29/2020,Catahoula Correctional Center,,,7
4/29/2020,El Paso Service Processing Center,,,7
4/29/2020,Elizabeth Detention Center,,,13
4/29/2020,Essex County Jail,,,2
4/29/2020,Florence Detention Center,,,10
4/29/2020,Hudson County Jail,,,9
4/29/2020,IAH Polk Adult Detention Facility,,,1
4/29/2020,Irwin County Detention Center,,,2
4/29/2020,Joe Corley Detention Center,,,2
4/29/2020,Krome North Service Processing Center,,,4
4/29/2020,La Palma Correctional Facility,,,24
4/29/2020,LaSalle ICE Processing Center - Jena,,,7
4/29/2020,Montgomery Processing Center (Houston),,,3
4/29/2020,Morrow County Correctional Facility,,,6
4/29/2020,Otay Mesa Detention Center (San Diego CDF),,,84
4/29/2020,Otero County Processing Center,,,3
4/29/2020,Pike County Correctional Facility,,,16
4/29/2020,Pine Prairie ICE Processing Center,,,17
4/29/2020,Prairieland Detention Facility,,,41
4/29/2020,Pulaski County Detention Center,,,12
4/29/2020,Richwood Correctional Center,,,45
4/29/2020,River Correctional Center,,,2
4/29/2020,South Texas ICE Processing Center (Pearsall),,,5
4/29/2020,Saint Clair County Jail,,,5
4/29/2020,Stewart Detention Center,,,9
4/29/2020,Winn Correctional Center,,,2
4/29/2020,Wyatt Detention Center,,,1
4/29/2020,York County Prison,,,1
4/30/2020,Adams County Correctional Center,,,14
4/30/2020,Bergen County Jail,,,2
